FID,LE_ID,ENGLISH,COUNTY,GUID,Pop2016,C19_P14_T,P14_100k,P14_100k_T,Ire_IncP14,EventDate
111,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,29992,44,146.7,146.7,279.3,2020/10/19 00:00:00+00
112,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,25960,140,539.3,539.3,279.3,2020/10/19 00:00:00+00
113,13120402,CAPPAMORE-KILMALLOCK LEA-7,LIMERICK,2ae19629-3f09-13a3-e055-000000000001,34821,90,258.5,258.5,279.3,2020/10/19 00:00:00+00
114,13260410,BLACKROCK LEA-6,DUBLIN,2ae19629-3f4f-13a3-e055-000000000001,33727,39,115.6,115.6,279.3,2020/10/19 00:00:00+00
115,1350400,GLENTIES LEA-6,DONEGAL,2ae19629-3f43-13a3-e055-000000000001,23919,37,154.7,154.7,279.3,2020/10/19 00:00:00+00
116,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,22366,113,505.2,505.2,279.3,2020/10/19 00:00:00+00
117,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,41627,37,88.9,88.9,279.3,2020/10/19 00:00:00+00
118,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,21129,123,582.1,582.1,279.3,2020/10/19 00:00:00+00
119,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,29791,82,275.3,275.3,279.3,2020/10/19 00:00:00+00
120,1380401,CELBRIDGE LEA-4,KILDARE,2ae19629-3f70-13a3-e055-000000000001,21626,52,240.5,240.5,279.3,2020/10/19 00:00:00+00
121,1330400,ENNISTIMON LEA-4,CLARE,2ae19629-3f5f-13a3-e055-000000000001,16408,31,188.9,188.9,279.3,2020/10/19 00:00:00+00
122,1370403,KENMARE LEA-6,KERRY,2ae19629-3f6e-13a3-e055-000000000001,25062,41,163.6,163.6,279.3,2020/10/19 00:00:00+00
123,13160404,TRIM LEA-6,MEATH,2ae19629-3f1c-13a3-e055-000000000001,31195,109,349.4,349.4,279.3,2020/10/19 00:00:00+00
124,13160403,RATOATH LEA-7,MEATH,2ae19629-3f1b-13a3-e055-000000000001,33318,404,1212.6,1212.6,279.3,2020/10/19 00:00:00+00
125,13210401,ROSCREA-TEMPLEMORE LEA-4,TIPPERARY,2ae19629-3f2d-13a3-e055-000000000001,16594,41,247.1,247.1,279.3,2020/10/19 00:00:00+00
126,13180401,TULLAMORE LEA-7,OFFALY,2ae19629-3f22-13a3-e055-000000000001,29159,67,229.8,229.8,279.3,2020/10/19 00:00:00+00
127,1360401,TUAM LEA-7,GALWAY,2ae19629-3f49-13a3-e055-000000000001,33191,41,123.5,123.5,279.3,2020/10/19 00:00:00+00
128,13100400,BORRIS-IN-OSSORY -MOUNTMELLICK LEA-6,LAOIS,2ae19629-3eff-13a3-e055-000000000001,24807,36,145.1,145.1,279.3,2020/10/19 00:00:00+00
129,13230402,KINNEGAD LEA-5,WESTMEATH,2ae19629-3f38-13a3-e055-000000000001,21674,107,493.7,493.7,279.3,2020/10/19 00:00:00+00
130,13260428,DONAGHMEDE LEA-5,DUBLIN,2ae19629-3f5e-13a3-e055-000000000001,41593,69,165.9,165.9,279.3,2020/10/19 00:00:00+00
131,1350401,MILFORD LEA-3,DONEGAL,2ae19629-3f44-13a3-e055-000000000001,13771,16,116.2,116.2,279.3,2020/10/19 00:00:00+00
132,1360422,GALWAY CITY EAST LEA-6,GALWAY,2ae19629-3f6a-13a3-e055-000000000001,26595,102,383.5,383.5,279.3,2020/10/19 00:00:00+00
133,13220421,WATERFORD CITY SOUTH LEA-6,WATERFORD,2ae19629-3f34-13a3-e055-000000000001,22476,42,186.9,186.9,279.3,2020/10/19 00:00:00+00
134,13140402,ARDEE LEA-6,LOUTH,2ae19629-3f12-13a3-e055-000000000001,25317,32,126.4,126.4,279.3,2020/10/19 00:00:00+00
135,13140403,DROGHEDA RURAL LEA-4,LOUTH,2ae19629-3f13-13a3-e055-000000000001,17876,23,128.7,128.7,279.3,2020/10/19 00:00:00+00
136,13110400,MANORHAMILTON LEA-6,LEITRIM,2ae19629-3f04-13a3-e055-000000000001,10821,30,277.2,277.2,279.3,2020/10/19 00:00:00+00
137,13250403,WICKLOW LEA-6,WICKLOW,2ae19629-3ef5-13a3-e055-000000000001,28219,22,78,78,279.3,2020/10/19 00:00:00+00
138,13160402,ASHBOURNE LEA-6,MEATH,2ae19629-3f1a-13a3-e055-000000000001,29081,219,753.1,753.1,279.3,2020/10/19 00:00:00+00
139,13170400,MONAGHAN LEA-7,MONAGHAN,2ae19629-3f1e-13a3-e055-000000000001,22695,89,392.2,392.2,279.3,2020/10/19 00:00:00+00
140,13100402,GRAIGUECULLEN -PORTARLINGTON-LEA-6,LAOIS,2ae19629-3f01-13a3-e055-000000000001,28096,72,256.3,256.3,279.3,2020/10/19 00:00:00+00
141,13210404,CASHEL-TIPPERARY LEA-7,TIPPERARY,2ae19629-3f30-13a3-e055-000000000001,27382,47,171.6,171.6,279.3,2020/10/19 00:00:00+00
142,13250400,BALTINGLASS LEA-6,WICKLOW,2ae19629-3f3d-13a3-e055-000000000001,26167,46,175.8,175.8,279.3,2020/10/19 00:00:00+00
143,1310400,CARLOW LEA-7,CARLOW,2ae19629-3f02-13a3-e055-000000000001,22650,59,260.5,260.5,279.3,2020/10/19 00:00:00+00
144,1340400,KANTURK LEA-4,CORK,2ae19629-3f63-13a3-e055-000000000001,24935,45,180.5,180.5,279.3,2020/10/19 00:00:00+00
145,1390402,PILTOWN LEA-5,KILKENNY,2ae19629-3f76-13a3-e055-000000000001,21343,17,79.7,79.7,279.3,2020/10/19 00:00:00+00
146,1340414,CORK CITY SOUTH WEST LEA-7,CORK,2ae19629-3ef4-13a3-e055-000012000001,47049,196,416.6,416.6,279.3,2020/10/19 00:00:00+00
147,13200400,BALLYMOTE-TOBERCURRY LEA-7,SLIGO,2ae19629-3f27-13a3-e055-000000000001,26731,50,187,187,279.3,2020/10/19 00:00:00+00
148,13120421,LIMERICK CITY NORTH LEA-7,LIMERICK,2ae19629-3f0b-13a3-e055-000000000001,34714,89,256.4,256.4,279.3,2020/10/19 00:00:00+00
149,1360403,LOUGHREA LEA-5,GALWAY,2ae19629-3f4b-13a3-e055-000000000001,23219,46,198.1,198.1,279.3,2020/10/19 00:00:00+00
150,13260420,BALLYMUN-FINGLAS LEA-6,DUBLIN,2ae19629-3f56-13a3-e055-000000000001,55010,251,456.3,456.3,279.3,2020/10/19 00:00:00+00
151,13240404,WEXFORD LEA-7,WEXFORD,2ae19629-3ef4-13a3-e055-000024000001,29114,17,58.4,58.4,279.3,2020/10/19 00:00:00+00
152,13240401,KILMUCKRIDGE LEA-4,WEXFORD,2ae19629-3f3a-13a3-e055-000000000001,16725,46,275,275,279.3,2020/10/19 00:00:00+00
153,1370400,LISTOWEL LEA-6,KERRY,2ae19629-3f6b-13a3-e055-000000000001,28674,162,565,565,279.3,2020/10/19 00:00:00+00
154,1350406,LIFFORD-STRANORLAR LEA-6,DONEGAL,2ae19629-3ef4-13a3-e055-075000000001,25889,132,509.9,509.9,279.3,2020/10/19 00:00:00+00
155,1330404,KILRUSH LEA-5,CLARE,2ae19629-3ef4-13a3-e055-000000044001,20994,57,271.5,271.5,279.3,2020/10/19 00:00:00+00
156,1340412,CORK CITY SOUTH EAST LEA-6,CORK,2ae19629-3ef4-13a3-e055-999990000001,42782,183,427.7,427.7,279.3,2020/10/19 00:00:00+00
157,1340402,MIDLETON LEA-7,CORK,2ae19629-3f65-13a3-e055-000000000001,45441,53,116.6,116.6,279.3,2020/10/19 00:00:00+00
158,13120400,NEWCASTLE WEST LEA-6,LIMERICK,2ae19629-3f07-13a3-e055-000000000001,27416,42,153.2,153.2,279.3,2020/10/19 00:00:00+00
159,13260414,FIRHOUSE-BOHERNABREENA LEA-5,DUBLIN,2ae19629-3f53-13a3-e055-000000000001,34202,85,248.5,248.5,279.3,2020/10/19 00:00:00+00
160,1380402,NAAS LEA-7,KILDARE,2ae19629-3f71-13a3-e055-000000000001,39126,108,276,276,279.3,2020/10/19 00:00:00+00
161,1360400,CONAMARA NORTH LEA-4,GALWAY,2ae19629-3f48-13a3-e055-000000000001,17191,22,128,128,279.3,2020/10/19 00:00:00+00
162,13210403,CLONMEL LEA-6,TIPPERARY,2ae19629-3f2f-13a3-e055-000000000001,24310,27,111.1,111.1,279.3,2020/10/19 00:00:00+00
163,1320401,BAILIEBOROUGH - COOTEHILL LEA-6,CAVAN,2ae19629-3f2a-13a3-e055-000000000001,24415,117,479.2,479.2,279.3,2020/10/19 00:00:00+00
164,13260403,CASTLEKNOCK LEA-6,DUBLIN,2ae19629-3efa-13a3-e055-000000000001,46126,116,251.5,251.5,279.3,2020/10/19 00:00:00+00
165,13120401,ADARE-RATHKEALE LEA-6,LIMERICK,2ae19629-3f08-13a3-e055-000000000001,27710,123,443.9,443.9,279.3,2020/10/19 00:00:00+00
166,13240403,ROSSLARE LEA-5,WEXFORD,2ae19629-3f3c-13a3-e055-000000000001,21540,35,162.5,162.5,279.3,2020/10/19 00:00:00+00
